date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:29:44	193578/193578	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Apr%202025%2015:59:46%20GMT	https://bitrader.thetork.com/	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/index.html	(from )
06:29:44	138/138	---MCZ	200	added ('OK')	text/plain	date:Mon,%2007%20Apr%202025%2015:59:46%20GMT	https://bitrader.thetork.com/robots.txt		(from )
06:29:49	175042/175042	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Apr%202025%2015:59:46%20GMT	https://bitrader.thetork.com/home-two/	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/home-two/index.html	(from )
06:29:50	153494/153494	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Apr%202025%2015:59:47%20GMT	https://bitrader.thetork.com/home-three/	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/home-three/index.html	(from )
06:29:50	140414/140414	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Apr%202025%2015:59:49%20GMT	https://bitrader.thetork.com/home-five/	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/home-five/index.html	(from )
06:29:51	156478/156478	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Apr%202025%2015:59:48%20GMT	https://bitrader.thetork.com/home-four/	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/home-four/index.html	(from )
06:29:53	5842/5842	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Apr%202025%2015:59:55%20GMT	https://gmpg.org/xfn/11	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/gmpg.org/xfn/11.html	(from https://bitrader.thetork.com/)
06:29:54	93686/93686	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Apr%202025%2015:59:56%20GMT	https://bitrader.thetork.com/our-team/	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/our-team/index.html	(from )
06:29:54	83950/83950	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Apr%202025%2015:59:57%20GMT	https://bitrader.thetork.com/blog/	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/blog/index.html	(from )
06:29:55	92891/92891	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Apr%202025%2015:59:57%20GMT	https://bitrader.thetork.com/our-pricing/	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/our-pricing/index.html	(from )
06:29:56	79479/79479	---MCZ	200	added ('OK')	text/css	etag:W/%2267f20514-13677%22	https://bitrader.thetork.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.2.3	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend950a.css	(from https://bitrader.thetork.com/)
06:29:57	25439/25439	---MC-	200	added ('OK')	application/rss+xml	etag:%22c856f7427bc888665a5ad4f967319388%22	https://bitrader.thetork.com/feed/	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/feed/index.html	(from https://bitrader.thetork.com/)
06:29:57	74702/74702	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Apr%202025%2015:59:59%20GMT	https://bitrader.thetork.com/contact-us/	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/contact-us/index.html	(from )
06:29:57	87514/87514	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Apr%202025%2015:59:59%20GMT	https://bitrader.thetork.com/options-trading-business/	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/options-trading-business/index.html	(from )
06:29:57	2894/2894	---MCZ	200	added ('OK')	text/css	etag:W/%2267f204f7-b4e%22	https://bitrader.thetork.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.5	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/wp-content/plugins/contact-form-7/includes/css/styles52c7.css	(from https://bitrader.thetork.com/)
06:29:57	3364/3364	---MC-	200	added ('OK')	application/rss+xml	etag:%22c856f7427bc888665a5ad4f967319388%22	https://bitrader.thetork.com/comments/feed/	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/comments/feed/index.html	(from https://bitrader.thetork.com/)
06:29:58	776/776	---MCZ	200	added ('OK')	text/css	etag:W/%2267f20514-308%22	https://bitrader.thetork.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=2.2.3	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor950a.css	(from https://bitrader.thetork.com/)
06:29:58	53275/53275	---MCZ	200	added ('OK')	text/css	etag:W/%2267f204ff-d01b%22	https://bitrader.thetork.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.28.3	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/wp-content/plugins/elementor/assets/css/frontend.min87cc.css	(from https://bitrader.thetork.com/)
06:29:58	1164/1164	---MCZ	200	added ('OK')	text/css	etag:W/%2267b89abf-48c%22	https://bitrader.thetork.com/wp-content/uploads/elementor/css/post-7.css?ver=1740151487	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/wp-content/uploads/elementor/css/post-7d50b.css	(from https://bitrader.thetork.com/)
06:29:59	600/600	---MCZ	200	added ('OK')	text/css	etag:W/%2267f204ff-258%22	https://bitrader.thetork.com/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.28.3	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/wp-content/plugins/elementor/assets/css/widget-heading.min87cc.css	(from https://bitrader.thetork.com/)
06:29:59	254/254	---MCZ	200	added ('OK')	text/css	etag:W/%2267f204ff-fe%22	https://bitrader.thetork.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.28.3	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/wp-content/plugins/elementor/assets/css/widget-image.min87cc.css	(from https://bitrader.thetork.com/)
06:30:00	30173/30173	---MCZ	200	added ('OK')	text/css	etag:W/%2267b89ac0-75dd%22	https://bitrader.thetork.com/wp-content/uploads/elementor/css/post-67.css?ver=1740151488	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/wp-content/uploads/elementor/css/post-678c47.css	(from https://bitrader.thetork.com/)
06:30:00	16119/16119	---MCZ	200	added ('OK')	text/css	etag:W/%2267b89ac0-3ef7%22	https://bitrader.thetork.com/wp-content/uploads/elementor/css/post-367.css?ver=1740151488	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/wp-content/uploads/elementor/css/post-3678c47.css	(from https://bitrader.thetork.com/)
06:30:00	28150/28150	---MCZ	200	added ('OK')	text/css	etag:W/%2267b89a59-6df6%22	https://bitrader.thetork.com/wp-content/themes/bitrader/assets/css/bitrader-custom.css?ver=6.7.2	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/wp-content/themes/bitrader/assets/css/bitrader-customd1c0.css	(from https://bitrader.thetork.com/)
06:30:01	46362/46362	---MCZ	200	added ('OK')	text/css	etag:W/%2267b89a59-b51a%22	https://bitrader.thetork.com/wp-content/themes/bitrader/assets/css/bitrader-fonts.css?ver=6.7.2	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/wp-content/themes/bitrader/assets/css/bitrader-fontsd1c0.css	(from https://bitrader.thetork.com/)
06:30:01	232872/232872	---MCZ	200	added ('OK')	text/css	etag:W/%2267b89a59-38da8%22	https://bitrader.thetork.com/wp-content/themes/bitrader/assets/css/bootstrap.min.css?ver=6.7.2	C:/Users/LUPA/Downloads/PROJECT%20BITRADER/bitrader.thetork.com/wp-content/themes/bitrader/assets/css/bootstrap.mind1c0.css	(from https://bitrader.thetork.com/)
